signature_id	tissue	cell_type	control_type	category	class	subcategory	description	genes	num_genes	confidence	source_file
POS_001	pancreas	beta_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Primary insulin-secreting endocrine cells	INS|IAPP|MAFA|DLK1|ADCYAP1|PBP|ZNF385D|TRPM3|LRFN2|PLUT|DOCK10|KIRREL3|PCSK1|SLC30A8|GCK|PDX1|ISL1|ABCC8|KCNJ11|HHATL|SAMD11|LRRTM3|WSCD1|LINC01099	24	High	pancreas_gene_signatures.xlsx
POS_002	pancreas	alpha_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Glucagon-producing cells	GCG|TTR|IRX2|FAP|DPP4|GPR119|PTPRT|PDK4|LOXL4|STK32B|ARX|MAFB|TM4SF4|CD24|GC|CRYBA2|KCNNA1|PCSK2|DLK1|LOXL2	20	High	pancreas_gene_signatures.xlsx
POS_003	pancreas	delta_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Somatostatin-secreting cells	SST|HHEX|LEPR|RBP4|LRFN5|ADARB2|ERBB4|KCNT2|GHRL|DPP4|HMGCS2|LY6E|FRZB|PCSK1	14	High	pancreas_gene_signatures.xlsx
POS_004	pancreas	gamma_epsilon_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - PP and ghrelin-producing cells	PPY|GHRL|ARX|ETAS1|THSD7A|CACNA2D3|IRX2|FEV|PAX4|PAX6|NKX2-2|PPY2	12	High	pancreas_gene_signatures.xlsx
POS_005	pancreas	cycling_alpha_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Proliferative alpha cell subpopulation	GCG|MKI67|CDK1|TOP2A|CENPF|BIRC5|AURKA|PLK1|CCNB1|PCNA|ASPM|STMN1|BUB1|CCNA2	14	Medium-High	pancreas_gene_signatures.xlsx
POS_006	pancreas	ductal_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Bicarbonate/fluid secreting duct cells	CFTR|KRT19|KRT7|SOX9|HNF1B|AMBP|MMP7|MUC1|SLC4A4|CA2|SPP1|CEACAM6|TFF1|AQP1|FXYD2|SLC26A6|ANPEP|ONECUT2	18	High	pancreas_gene_signatures.xlsx
POS_007	pancreas	acinar_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Digestive enzyme-producing cells	PRSS1|CPA1|CTRB1|CTRB2|REG1A|REG3A|PNLIP|AMY2A|CEL|PLA2G2A|MECOM|CPB1|SYCN|KLK1|REG1B|PRSS2|CTRC	17	High	pancreas_gene_signatures.xlsx
POS_008	pancreas	stellate_cell_activated	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Myofibroblast-like activated stellate cells	ACTA2|COL1A1|COL3A1|COL6A1|PDGFRB|LUM|BGN|FAP|VIM|POSTN|FN1|THY1|DCN|SSP1|TAGLN|COL1A2	16	High	pancreas_gene_signatures.xlsx
POS_009	pancreas	stellate_cell_quiescent	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Quiescent stellate cells with vitamin A storage	PDGFRB|RGS5|FABP4|GFAP|VIM|DES|NGF|NCAM1|CYGB|ADIPOQ|S100A4|ALB|LPL	13	High	pancreas_gene_signatures.xlsx
POS_010	pancreas	endothelial_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Vascular endothelial cells	PECAM1|VWF|PLVAP|CDH5|ESAM|KDR|FLT1|NKX2-3|CD34|CLDN5|EMCN|ICAM1|IGFBP3|MCAM|SOX4|CCND1|VAT1|FMNL3	18	High	pancreas_gene_signatures.xlsx
POS_011	pancreas	immune_cell	positive	cell_identity	cell_type_marker	cell_type_marker	Identity markers - Heterogeneous immune population	PTPRC|CD3E|CD4|CD8A|CD14|CD163|SPP1|HLA-DRA|CD86|TPSAB1|CCR6|CCL20|CD74|B2M|STAT1|IRF1|IL15|GBP2|IFIT3	19	High	pancreas_gene_signatures.xlsx
POS_012	pancreas	beta_cell	positive	cell_identity	functional_pathway	functional_pathway	Insulin secretion / GSIS pathway	SLC2A2|GCK|KCNJ11|ABCC8|CACNA1C|ITPR3|RYR2|INS|IAPP|PCSK1|PCSK2|CPE	12	High	pancreas_gene_signatures.xlsx
POS_013	pancreas	beta_cell	positive	cell_identity	functional_pathway	functional_pathway	Beta cell identity transcription factors	PDX1|NKX6-1|MAFA|NEUROD1|ISL1|PAX6|RFX6	7	High	pancreas_gene_signatures.xlsx
POS_014	pancreas	beta_cell	positive	cell_identity	functional_pathway	functional_pathway	MODY genes pathway	HNF4A|GCK|HNF1A|PDX1|HNF1B|NEUROD1|KLF11|CEL|PAX4|INS	10	High	pancreas_gene_signatures.xlsx
POS_015	pancreas	beta_cell	positive	cell_identity	functional_pathway	functional_pathway	ER stress / UPR pathway	TXNIP|DDIT3|HSPA5|ATF4|EIF2AK3|ATF6|ERN1	7	High	pancreas_gene_signatures.xlsx
POS_016	pancreas	alpha_cell	positive	cell_identity	functional_pathway	functional_pathway	Glucagon signaling pathway	GCG|GCGR|GLP1R|ARX|MAFB|TTR|PCSK2|DPP4	8	High	pancreas_gene_signatures.xlsx
POS_017	pancreas	alpha_cell	positive	cell_identity	functional_pathway	functional_pathway	Amino acid sensing and ion channels	SLC5A2|SLC2A1|HK1|CACNA1A	4	Medium	pancreas_gene_signatures.xlsx
